10	799.494624138	0.799494624138	12.5079014894
20	793.3075428	0.7933075428	25.2109036168
50	785.389900207	0.785389900207	63.6626470328
100	823.814511299	0.823814511299	121.386548341
500	779.012441635	0.779012441635	641.838272763
1000	946.291446685	0.946291446686	1056.75688341
1500	1087.20505237	1.08720505237	1379.68453763
2000	1017.3870325	1.01738703251	1965.82021994
3000	1062.67356872	1.06267356872	2823.06823872
4000	1044.4315672	1.04443156719	3829.83445315
5000	1215.76058865	1.21576058865	4112.65182198
6000	1225.94237328	1.22594237328	4894.1941569
7000	1496.17898464	1.49617898464	4678.58462915
8000	1644.56498623	1.64456498623	4864.50828455
9000	1245.08702755	1.24508702755	7228.41038486
10000	1188.79401684	1.18879401684	8411.88621274
